id,set,idset,option,origBlock,block,rotation,income,cov,acc1,acc2,bid,vote,choice,allNO,protNO,watercolor2018,respirr2018,watercolor2019,respirr2019,watercolor_1m,respirr_1m,sq,covacc1,covacc2,acc1acc2,cov12,acc175,acc1100,acc275,acc2100,cov12acc175,cov12acc1100,cov12acc275,cov12acc2100,cov12ec,acc175ec,acc1100ec,acc275ec,acc2100ec,cov12acc175ec,cov12acc1100ec,cov12acc275ec,cov12acc2100ec
4,3,15,3,2.2,2,2,62500,0,0,0,0,1,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,16,1,2.2,2,2,62500,12,100,100,35,3,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,1200,1200,10000,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1
4,4,16,2,2.2,2,2,62500,6,50,50,15,3,0,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,0,300,300,2500,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,1,1,1
4,4,16,3,2.2,2,2,62500,0,0,0,0,3,1,0,-999,2.20572447082072,1.66503600362607,1.59480949932363,1.09376914542823,1.43004552030038,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,17,1,5.3,5,3,42500,12,75,75,15,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,900,900,5625,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
5,1,17,2,5.3,5,3,42500,6,75,50,5,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,450,300,3750,0,1,0,0,0,0,0,0,0,-1,1,0,-1,-1,-1,0,1,1
5,1,17,3,5.3,5,3,42500,0,0,0,0,3,1,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,18,1,5.3,5,3,42500,6,75,75,5,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,450,450,5625,0,1,0,1,0,0,0,0,0,-1,1,0,1,0,-1,0,-1,0
5,2,18,2,5.3,5,3,42500,6,100,100,35,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,600,600,10000,0,0,1,0,1,0,0,0,0,-1,0,1,0,1,0,-1,0,-1
5,2,18,3,5.3,5,3,42500,0,0,0,0,3,1,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3,19,1,5.3,5,3,42500,6,100,50,35,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,600,300,5000,0,0,1,0,0,0,0,0,0,-1,0,1,-1,-1,0,-1,1,1
5,3,19,2,5.3,5,3,42500,6,75,75,25,3,0,1,1,2.2205818550257,1.66620381266637,1.62209691499338,1.09522323038165,1.49217549533386,1,0,450,450,5625,0,1,0,1,0,0,0,0,0,-1,1,0,1,0,-1,0,-1,0
